PeriodoLetivo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
20120102;14;11;12638;ReprEvadiu;4;19;1454;0;1011;0;0.445798386;0.281452762;0.272748853;0;5634;3557;3447;0;10;0;18;3702;0;10;4;156
20120102;0;3;3165;ReprEvadiu;0;5;0;0;0;0;0;0;1;0;0;0;3165;0;0;0;9;2430;0;0;0;26
20120102;6;11;13896;ReprEvadiu;1;12;308;8;2147;0;0;0.48675878;0.51324122;0;0;6764;7132;0;18;0;12;3637;0;0;11;109
20120102;6;8;21896;Sucesso;5;49;1418;13;3286;0;0.13847278;0.306265985;0.555261235;0;3032;6706;12158;0;13;0;22;4034;0;0;18;257
20120102;11;6;8367;Sucesso;4;12;227;0;247;0.035855145;0;0.114736465;0.84940839;300;0;960;7107;0;7;0;17;2203;0;0;4;96
20120102;0;3;6607;Sucesso;1;6;0;0;0;0;0;0.107764492;0.892235508;0;0;712;5895;0;3;0;11;1664;0;0;2;42
20120102;0;4;5401;ReprEvadiu;1;4;0;2;710;0;0;0.121273838;0.878726162;0;0;655;4746;0;10;0;7;2422;0;0;3;40
20120102;1;2;704;ReprEvadiu;0;1;20;0;0;0;0.573863636;0;0.426136364;0;404;0;300;0;2;0;1;300;0;0;0;6
20120102;1;4;13803;ReprEvadiu;2;6;300;10;2978;0;0;0;1;0;0;0;13803;0;14;0;22;5741;0;0;17;65
20120102;5;6;6515;ReprEvadiu;1;6;1097;0;330;0;0;0.421949348;0.578050652;0;0;2749;3766;0;9;0;4;841;0;0;1;42
20120102;6;11;14797;Sucesso;3;27;19;4;1950;0;0.085152396;0.395891059;0.518956545;0;1260;5858;7679;0;11;0;28;3714;0;0;9;132
20120102;8;7;9623;ReprEvadiu;0;12;356;0;427;0;0.202743427;0.035435935;0.761820638;0;1951;341;7331;0;20;0;27;4337;0;0;0;133
20120102;0;3;1052;ReprEvadiu;0;0;0;0;300;0;0.285171103;0;0.714828897;0;300;0;752;0;0;0;1;300;0;0;0;6
20120102;0;4;1252;ReprEvadiu;0;0;0;0;0;0.28115016;0.239616613;0;0.479233227;352;300;0;600;0;0;0;1;300;0;0;0;4
20120102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20120102;0;2;1040;ReprEvadiu;0;2;0;0;0;0;0;1;0;0;0;1040;0;0;0;0;11;761;0;0;0;18
20120102;7;5;7234;ReprEvadiu;1;10;607;0;598;0;0;0;1;0;0;0;7234;0;5;0;8;1593;0;0;2;88
20120102;34;18;30157;Sucesso;3;38;321;23;3650;0.027058394;0.058527042;0.172364625;0.742049939;816;1765;5198;22378;0;12;0;16;3264;0;22;26;197
20120102;2;3;1333;ReprEvadiu;0;2;0;0;0;0;0.309827457;0;0.690172543;0;413;0;920;0;1;0;3;675;0;0;0;13
20120102;23;14;19735;Sucesso;3;56;356;1;334;0;0.092221941;0.249961996;0.657816063;0;1820;4933;12982;0;16;0;25;6567;0;0;8;202
20120102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20120102;8;13;16828;ReprEvadiu;1;19;1209;1;1206;0;0;0.235975755;0.764024245;0;0;3971;12857;0;8;0;18;2933;0;0;2;119
20120102;5;13;24377;Sucesso;3;18;505;0;2326;0.178734053;0.109734586;0;0.711531362;4357;2675;0;17345;0;9;0;43;10021;0;0;3;135
20120102;25;10;28362;Sucesso;3;35;1692;7;938;0.048304069;0.025914957;0.087194133;0.838586842;1370;735;2473;23784;0;22;0;43;7578;0;0;10;261
20120102;12;11;17837;Sucesso;7;44;625;10;2561;0;0.393339687;0.100521388;0.506138925;0;7016;1793;9028;0;23;0;20;1375;0;0;19;263
20120102;1;4;3018;ReprEvadiu;0;2;0;1;352;0;0;0.423127899;0.576872101;0;0;1277;1741;0;3;0;5;428;0;0;1;32
20120102;7;8;7325;ReprEvadiu;1;8;115;0;6;0;0.098976109;0.386075085;0.514948805;0;725;2828;3772;0;4;0;19;1717;0;0;1;57
20120102;11;11;8954;ReprEvadiu;1;9;339;12;986;0;0.311034175;0.165624302;0.523341523;0;2785;1483;4686;0;11;0;8;490;0;0;13;55
20120102;3;8;7836;Sucesso;1;7;0;0;386;0;0.106687085;0.215416029;0.677896886;0;836;1688;5312;0;12;0;9;1903;0;0;3;50
20120102;3;3;2375;ReprEvadiu;0;4;417;0;0;0;0;0;1;0;0;0;2375;0;5;0;5;1115;0;0;0;22
20120102;2;2;1526;ReprEvadiu;0;0;0;0;0;0;0;0;1;0;0;0;1526;0;0;0;3;362;0;0;0;8
20120102;3;12;8379;ReprEvadiu;1;26;358;0;0;0;0.290607471;0.709392529;0;0;2435;5944;0;0;21;0;17;1113;0;0;3;142
20120102;15;19;34021;Sucesso;7;76;1598;29;5517;0;0.110284824;0.237588548;0.652126628;0;3752;8083;22186;0;37;0;48;5491;0;125;39;404
20120102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20120102;9;10;15967;Sucesso;1;24;639;0;342;0;0.047535542;0.094256905;0.858207553;0;759;1505;13703;0;15;0;25;5608;0;18;3;161
20120102;8;9;20116;Sucesso;1;23;661;0;1842;0;0.038079141;0.200785444;0.761135415;0;766;4039;15311;0;12;0;31;7044;0;1108;4;230
20120102;14;14;14876;ReprEvadiu;2;33;2533;0;733;0;0.030787846;0.559491799;0.409720355;0;458;8323;6095;0;14;0;18;3058;0;0;2;156
20120102;10;8;9182;Sucesso;1;6;304;0;601;0;0;0.313874973;0.686125027;0;0;2882;6300;0;7;0;9;1759;0;334;6;51
20120102;10;10;15861;Sucesso;1;13;72;9;2343;0;0.115566484;0.162915327;0.721518189;0;1833;2584;11444;0;11;0;19;3774;0;300;12;87
20120102;10;15;20263;Sucesso;2;14;300;0;38;0;0.441148892;0.40571485;0.153136258;0;8939;8221;3103;0;12;0;5;463;0;300;2;174
20120102;9;13;21138;Sucesso;2;19;0;16;2132;0;0.073516889;0.167518214;0.758964897;0;1554;3541;16043;0;11;0;22;5639;0;0;18;133
20120102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20120102;6;15;27245;Sucesso;3;57;772;8;2580;0;0.05769866;0.166048816;0.776252523;0;1572;4524;21149;0;36;0;40;7805;0;153;11;363
20120102;0;4;2330;ReprEvadiu;0;1;0;0;0;0;0;0;1;0;0;0;2330;0;1;0;2;300;0;0;0;15
