CodigoPessoa;CodigoDisciplina;PeriodoLetivo;NumeroModulos;CodigoTurma;NumeroModulo;NumeroUltimoModulo;Login_Quantidade;Numero_Dias_Acessados_Modulo;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal;Turno_TempoUsoTotal_Somado;QuantidadeMatriculasValidas;QuantidadeMatriculasAprovadas;MatriculasPercentualAproveitamento;StatusMatricula;Evadido;Forum_Quantidade_Post;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso;Assignment_View_TempoUso_Somado;Resource_View_Quantidade;Resource_View_Quantidade_Somado;Resource_View_Tempo;Resource_View_Tempo_Somado;Questionario_Quantidade;Questionario_Quantidade_Somado;Questionario_TempoUso;Questionario_TempoUso_Somado;Log_Post_Quantidade;Log_Post_Quantidade_Somado;Log_View_Quantidade;Log_View_Quantidade_Somado;Disciplina_Reprovado
31458;50355;20120102;9;4109;3;9;6;2;8;3675;12568;2;2;100;Aprovado;Sucesso;0;3;3;15;94;15;17;1236;1536;0;0;0.31755102;0.116725016;0.328163265;0.707352005;0.354285714;0.175922979;0;0;1167;1467;1206;8890;1302;2211;0;0;5;10;0;0;3;5;636;1140;0;0;0;157;17;25;23;76;0
31136;50262;20120101;9;4431;3;11;23;5;16;9449;41359;0;0;0;Aprovado;Sucesso;1;7;15;67;2229;0;8;0;3444;0;0;0.311567362;0.112115864;0.065297915;0.069271501;0.623134723;0.818612636;0;0;2944;4637;617;2865;5888;33857;0;0;0;8;0;0;15;33;3137;6106;0;0;1403;1403;5;22;70;351;0
31336;60465;20120102;9;4434;3;10;44;7;19;20603;48530;3;3;100;Aprovado;Sucesso;0;0;14;30;945;1;3;1131;2284;0.01766733;0.007500515;0.212833083;0.205295693;0.223122846;0.161755615;0.546376741;0.625448176;364;364;4385;9963;4597;7850;11257;30353;0;0;23;34;0;0;47;94;7053;15097;0;0;0;0;7;9;162;413;0
30760;60463;20120102;9;4604;3;10;14;5;11;5717;12638;4;3;75;Reprovado;ReprEvadiu;2;4;8;19;1454;0;0;0;1011;0;0;0.17176841;0.445798386;0.306979185;0.281452762;0.521252405;0.272748853;0;0;982;5634;1755;3557;2980;3447;0;0;3;10;0;0;5;18;1670;3702;0;0;10;10;2;4;72;156;0
32391;60463;20120102;9;4604;3;2;0;0;3;0;3165;2;2;100;Desistente;ReprEvadiu;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3165;0;0;0;0;0;0;0;9;0;2430;0;0;0;0;0;0;0;26;0
37507;50404;20120201;9;4912;3;9;5;1;5;4687;12793;0;0;0;Reprovado;ReprEvadiu;1;4;2;13;2069;0;0;0;82;0.064006827;0.023450324;0;0;0.177298912;0.064957399;0.758694261;0.911592277;300;300;0;0;831;831;3556;11662;0;0;0;0;0;0;2;15;360;3441;1;1;1467;1467;6;11;20;89;0
31347;60463;20120102;9;4605;3;11;6;4;11;1879;13896;2;2;100;Reprovado;ReprEvadiu;0;1;1;12;308;0;8;0;2147;0;0;0;0;1;0.48675878;0;0.51324122;0;0;0;0;1879;6764;0;7132;0;0;5;18;0;0;1;12;9;3637;0;0;0;0;2;11;15;109;0
31364;60463;20120102;9;4605;3;9;6;2;8;4532;21896;1;1;100;Aprovado;Sucesso;1;5;5;49;1418;0;13;0;3286;0;0;0.497352162;0.13847278;0.0739188;0.306265985;0.428729038;0.555261235;0;0;2254;3032;335;6706;1943;12158;0;0;4;13;0;0;8;22;1988;4034;0;0;0;0;1;18;31;257;0
31408;60463;20120102;9;4605;3;9;11;2;6;1495;8367;2;2;100;Aprovado;Sucesso;0;4;4;12;227;0;0;65;247;0;0.035855145;0;0;0.25083612;0.114736465;0.74916388;0.84940839;0;300;0;0;375;960;1120;7107;0;0;6;7;0;0;2;17;33;2203;0;0;0;0;0;4;31;96;0
31413;60463;20120102;9;4605;3;9;0;0;3;0;6607;3;3;100;Aprovado;Sucesso;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0.107764492;0;0.892235508;0;0;0;0;0;712;0;5895;0;0;0;3;0;0;0;11;0;1664;0;0;0;0;0;2;0;42;0
31666;60463;20120102;9;4605;3;9;0;0;4;0;5401;2;1;50;Reprovado;ReprEvadiu;0;1;0;4;0;0;2;0;710;0;0;0;0;0;0.121273838;0;0.878726162;0;0;0;0;0;655;0;4746;0;0;0;10;0;0;0;7;0;2422;0;0;0;0;0;3;0;40;0
31756;60463;20120102;9;4605;3;9;1;1;2;404;704;3;2;66.67;Reprovado;ReprEvadiu;0;0;1;1;20;0;0;0;0;0;0;1;0.573863636;0;0;0;0.426136364;0;0;404;404;0;0;0;300;0;0;2;2;0;0;1;1;300;300;0;0;0;0;0;0;5;6;0
31794;60463;20120102;9;4605;3;9;1;1;4;3413;13803;1;1;100;Reprovado;ReprEvadiu;0;2;1;6;300;0;10;0;2978;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3413;13803;0;0;2;14;0;0;6;22;3062;5741;0;0;0;0;0;17;10;65;0
31838;60463;20120102;9;4605;3;10;5;3;6;2985;6515;4;4;100;Reprovado;ReprEvadiu;0;1;1;6;1097;0;0;0;330;0;0;0;0;0.767169179;0.421949348;0.232830821;0.578050652;0;0;0;0;2290;2749;695;3766;0;0;7;9;0;0;2;4;241;841;0;0;0;0;0;1;16;42;0
34838;60463;20120102;9;4605;3;9;6;4;11;2042;14797;0;0;0;Aprovado;Sucesso;0;3;1;27;19;0;4;0;1950;0;0;0.160626836;0.085152396;0.692458374;0.395891059;0.146914789;0.518956545;0;0;328;1260;1414;5858;300;7679;0;0;6;11;0;0;5;28;498;3714;0;0;0;0;2;9;18;132;0
35030;60463;20120102;9;4605;3;10;8;4;7;2090;9623;0;0;0;Reprovado;ReprEvadiu;0;0;1;12;356;0;0;13;427;0;0;0;0.202743427;0;0.035435935;1;0.761820638;0;0;0;1951;0;341;2090;7331;0;0;7;20;0;0;8;27;1128;4337;0;0;0;0;0;0;30;133;0
33590;60463;20120102;9;4604;3;8;0;0;3;0;1052;4;4;100;Reprovado;ReprEvadiu;0;0;0;0;0;0;0;0;300;0;0;0;0.285171103;0;0;0;0.714828897;0;0;0;300;0;0;0;752;0;0;0;0;0;0;0;1;0;300;0;0;0;0;0;0;0;6;0
